"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"12","99252","python3.12","127.0.0.1","exp_kernel_kernel","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","51.46"
"12","99252","python3.12","127.0.0.1","exp_kernel_kernel","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","29.54"
"13","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::AUnaryFunctor<double, double, double, binary_internal::MulFunctor<double>>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","13.18"
"13","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::AUnaryFunctor<double, double, double, binary_internal::MulFunctor<double>>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","3.33"
"14","99252","python3.12","127.0.0.1","void at::unrolled_elementwise_kernel<at::BinaryFunctor<c10::complex<double>, c10::complex<double>, c10::complex<double>, binary_internal::MulFunctor<c10::complex<double>>>, std::array<char *, 3>, 4, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<2>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)","1","7","(128, 1, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","77.06"
"14","99252","python3.12","127.0.0.1","void at::unrolled_elementwise_kernel<at::BinaryFunctor<c10::complex<double>, c10::complex<double>, c10::complex<double>, binary_internal::MulFunctor<c10::complex<double>>>, std::array<char *, 3>, 4, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<2>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)","1","7","(128, 1, 1)","(2, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","6.62"
"15","99252","python3.12","127.0.0.1","void <unnamed>::elementwise_kernel_with_index<int, at::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)","1","7","(64, 1, 1)","(16, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","71.55"
"15","99252","python3.12","127.0.0.1","void <unnamed>::elementwise_kernel_with_index<int, at::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)","1","7","(64, 1, 1)","(16, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","2.46"
"16","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::CUDAFunctorOnSelf_add<double>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","13.70"
"16","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::CUDAFunctorOnSelf_add<double>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","3.36"
"17","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::AUnaryFunctor<double, double, double, binary_internal::MulFunctor<double>>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","13.31"
"17","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::AUnaryFunctor<double, double, double, binary_internal::MulFunctor<double>>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","us","3.36"
"18","99252","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::CUDAFunctorOnSelf_add<double>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","13.31"
